ndx	pdbpath	fxity	nclusts	aver_rmsd	nfrags
1	../scop40NR/d2d8ra1.ent	0.7710843373493976	64	4.312082498257696	83
2	../scop40NR/d2d8va1.ent	0.8823529411764706	45	4.59771030428592	51
3	../scop40NR/d2d9ba1.ent	0.5268817204301075	49	4.272115423860185	93
4	../scop40NR/d2daga1.ent	0.5344827586206896	31	3.5972933092383794	58
5	../scop40NR/d2dapa2.ent	0.4557823129251701	67	4.8455907088870385	147
6	../scop40NR/d2dara2.ent	0.8333333333333334	35	4.289214946177541	42
7	../scop40NR/d2dasa1.ent	0.782608695652174	36	4.505926084738148	46
8	../scop40NR/d2ddza1.ent	0.4810810810810811	89	4.756117426817917	185
9	../scop40NR/d12asa_.ent	0.4104938271604938	133	4.671656884119026	324
10	../scop40NR/d1914a1.ent	0.41333333333333333	31	4.654193089289135	75
11	../scop40NR/d1a04a1.ent	0.296875	19	3.2211285327357473	64
12	../scop40NR/d1a0aa_.ent	0.5166666666666667	31	3.2944443617926704	60
13	../scop40NR/d2df7a1.ent	0.4110576923076923	171	4.472592369793637	416
14	../scop40NR/d1a12a_.ent	0.3417085427135678	136	4.5528420049785865	398
15	../scop40NR/d1a1ia1.ent	0.6923076923076923	18	4.369220477765833	26
16	../scop40NR/d1a1yi_.ent	0.6333333333333333	38	4.477673632883364	60
17	../scop40NR/d2dfka2.ent	0.49056603773584906	78	4.801244191057079	159
18	../scop40NR/d2di0a1.ent	0.48333333333333334	29	3.5174915122157997	60
19	../scop40NR/d2dida1.ent	0.7837837837837838	29	4.623203340370869	37
20	../scop40NR/d1a32a_.ent	0.3170731707317073	26	2.597775548980181	82
21	../scop40NR/d2diia1.ent	0.4666666666666667	21	3.249050508781716	45
22	../scop40NR/d2dipa1.ent	0.7682926829268293	63	4.385241185108301	82
23	../scop40NR/d1a4ia2.ent	0.4098360655737705	50	4.351942529489888	122
24	../scop40NR/d2dira1.ent	0.5	41	5.095132268446673	82
25	../scop40NR/d2djaa1.ent	0.6764705882352942	46	4.365563661375673	68
26	../scop40NR/d1a5ta2.ent	0.36764705882352944	75	4.30444706614555	204
27	../scop40NR/d1a62a2.ent	0.6666666666666666	50	4.620306008444892	75
28	../scop40NR/d1a6bb_.ent	0.8918918918918919	33	4.3552664216196915	37
29	../scop40NR/d1a73a_.ent	0.5408805031446541	86	4.694426547660042	159
30	../scop40NR/d1a79a1.ent	0.44680851063829785	42	4.706172402899235	94
31	../scop40NR/d1a79a2.ent	0.5070422535211268	36	4.644928733742301	71
32	../scop40NR/d2djla_.ent	0.4368932038834951	135	5.817083385985826	309
33	../scop40NR/d2dk4a1.ent	0.65	39	4.369222189038992	60
34	../scop40NR/d2dkla1.ent	0.5652173913043478	39	4.2993268920102805	69
35	../scop40NR/d2dlqa4.ent	0.7083333333333334	17	4.140028739244574	24
36	../scop40NR/d2dlza1.ent	0.6176470588235294	63	4.770739196911769	102
37	../scop40NR/d1a8da1.ent	0.5	122	4.557335370621956	244
38	../scop40NR/d2dmga1.ent	0.626984126984127	79	4.179132609879919	126
39	../scop40NR/d2doea1.ent	0.40298507462686567	27	3.4347449410071906	67
40	../scop40NR/d1a8la1.ent	0.5086206896551724	59	4.546934002051384	116
41	../scop40NR/d2dp9a2.ent	0.5677966101694916	67	4.655061574607308	118
