ndx	pdbpath	fxity	nfrags
1	../scop40/lq/d1lqsl_.ent	8.941960233388327	135
2	../scop40/sm/d1smba_.ent	14.162875138101443	157
3	../scop40/sm/d1smoa_.ent		
4	../scop40/sm/d1smpi_.ent	15.589217799178083	93
5	../scop40/lq/d1lqta1.ent	14.085043455583708	212
6	../scop40/fi/d1fiua_.ent	13.413082823004965	279
7	../scop40/2a/d12asa_.ent	14.371741927204534	320
8	../scop40/51/d351ca_.ent	13.06562346338816	75
9	../scop40/56/d256ba_.ent	7.969110707867608	99
10	../scop40/lq/d1lqta2.ent	13.95100947082352	239
11	../scop40/sm/d1smra_.ent	14.843043736004647	324
12	../scop40/fi/d1fiw.1.ent	15.863938832157437	267
13	../scop40/fi/d2fi0a1.ent	12.256891908540178	72
14	../scop40/lq/d1lqva_.ent	15.800013723003717	165
15	../scop40/lr/d1lr0a_.ent	13.090175748722963	116
16	../scop40/sm/d1smva_.ent	14.168736341565465	189
17	../scop40/fi/d2fi1a1.ent	13.327532778413396	180
18	../scop40/sm/d1smxa_.ent	13.604667260330729	81
19	../scop40/fi/d2fi2a1.ent	10.037247606131753	85
20	../scop40/lr/d1lr5a_.ent	14.211123669168293	153
21	../scop40/lr/d1lr7a1.ent	14.322771579043788	18
22	../scop40/lr/d1lr7a2.ent	13.73264714548866	41
23	../scop40/fi/d2fi9a1.ent	14.681395875772209	111
24	../scop40/6v/d16vpa_.ent	13.700202362579269	304
25	../scop40/91/d1914a1.ent	14.528342911637179	71
26	../scop40/fi/d2fiaa1.ent	14.641363688085688	150
27	../scop40/91/d1914a2.ent	18.53908346431909	78
28	../scop40/a0/d1a04a1.ent	10.816922358842568	60
29	../scop40/fi/d2fika2.ent	15.722746099003473	164
30	../scop40/a0/d1a04a2.ent	13.6162823691073	131
31	../scop40/lr/d1lrva_.ent	11.170814513570866	226
32	../scop40/lr/d1lrza1.ent	4.329895872503565	58
33	../scop40/lr/d1lrza2.ent	14.679816451459917	158
34	../scop40/lr/d1lrza3.ent	14.851547526438651	163
35	../scop40/ls/d1ls1a1.ent	10.086965620343587	90
36	../scop40/a0/d1a06a_.ent	14.909082147001225	272
37	../scop40/a0/d1a0aa_.ent	9.211341115411667	56
38	../scop40/ls/d1ls1a2.ent	13.42325920935204	212
39	../scop40/fi/d2fiqa1.ent	13.592773103482266	396
40	../scop40/fi/d2fiua1.ent	14.639656537343605	87
41	../scop40/fi/d2fiwa1.ent	15.06832011781021	152
42	../scop40/ls/d1lsha1.ent	10.447506164475438	338
43	../scop40/fi/d2fiya1.ent	13.696864491810148	278
44	../scop40/fi/d4fiva_.ent	13.440351672825361	109
45	../scop40/a0/d1a0ca_.ent	13.41113883106168	430
